gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,lt,teq,costat
001161,1990-12-31,1990,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1111.6920,475.3880,,A
001161,1991-12-31,1991,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1291.7580,508.4020,,A
001161,1992-12-31,1992,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1448.0950,401.3550,,A
001161,1993-12-31,1993,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1929.2310,576.9600,,A
001161,1994-12-31,1994,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2445.7020,710.4370,,A
001161,1995-12-31,1995,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3031.2680,931.1400,,A
001161,1996-12-31,1996,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3145.2830,1123.4050,,A
001161,1997-12-31,1997,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3515.2710,1485.7280,,A
001161,1998-12-31,1998,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4252.9680,2247.9190,,A
001161,1999-12-31,1999,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4377.6980,2398.4250,,A
001161,2000-12-31,2000,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,5767.7350,2596.0680,,A
001161,2001-12-31,2001,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,5647.2420,2092.1870,,A
001161,2002-12-31,2002,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,5619.1810,3151.9160,2467.2650,A
001161,2003-12-31,2003,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,7094.3450,3938.3950,2438.3100,A
001161,2004-12-31,2004,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,7844.2100,3993.5160,3010.0530,A
001161,2005-12-31,2005,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,7287.7790,3700.9540,3351.8370,A
001161,2006-12-31,2006,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,13147.0000,7072.0000,5785.0000,A
001161,2007-12-31,2007,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,11550.0000,8295.0000,2990.0000,A
001161,2008-12-31,2008,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,7675.0000,7588.0000,-82.0000,A
001161,2009-12-31,2009,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,9078.0000,7354.0000,648.0000,A
001161,2010-12-31,2010,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4964.0000,3951.0000,1013.0000,A
001161,2011-12-31,2011,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4954.0000,3364.0000,1590.0000,A
001161,2012-12-31,2012,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4000.0000,3462.0000,538.0000,A
001161,2013-12-31,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4337.0000,3793.0000,544.0000,A
001161,2014-12-31,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3767.0000,3580.0000,187.0000,A
001161,2015-12-31,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3109.0000,3521.0000,-412.0000,A
